Fehlerklasse,Runtime Baseline (s),Runtime XAI (s),XAI/Baseline-Faktor,p Runtime,dz Runtime,Interpretation
Label Noise / random,1.6226260344187418,5.747475496927897,3.54208263334488,1.862645149230957e-09,-3.467444505091543,XAI langsamer
Label Noise / hard,1.4942078272501627,3.552195127805074,2.377309945124762,1.862645149230957e-09,-3.1945134508961788,XAI langsamer
Data Leakage / direct,0.5342704693476359,2.9726519107818605,5.563945756559555,1.862645149230957e-09,-5.613196149492798,XAI langsamer
Data Leakage / indirect,0.5268617868423462,4.0959670384724935,7.774272381796665,1.862645149230957e-09,-5.280296734414074,XAI langsamer
Spurious Correlation / broken,0.5259992678960165,4.005233605702718,7.614523156512269,1.862645149230957e-09,-5.782742030769555,XAI langsamer
Spurious Correlation / inverted,0.5319181760152181,3.995879054069519,7.512206264512378,1.862645149230957e-09,-5.69892414390628,XAI langsamer
