Fehlerklasse,Metrik,Oracle-Potenzial,Fix-Impact Baseline,Fix-Impact XAI,Δ Fix-Impact (XAI - Baseline),Oracle-normalisiert Baseline,Oracle-normalisiert XAI,p Fix-Impact,dz Fix-Impact
Label Noise / random,accuracy,0.0020467836257309934,0.00029239766081871714,0.00204678362573099,0.0017543859649122727,0.44791666666666613,0.5416666666666677,0.3107805659689027,0.1880581124507434
Label Noise / random,balanced_accuracy,0.0011243386243386133,0.0008928571428571332,0.0011243386243386265,0.0002314814814814933,0.5421927662711037,0.6857585574824571,0.7944456421178256,0.022680435950325005
Label Noise / random,f1,0.0017183401751612397,0.00016320602454988672,0.0017457727879386371,0.0015825667633887503,0.42224021543747725,0.5516521168320814,0.13592202165385756,0.21266031947408584
Label Noise / random,roc_auc,0.00396274250440915,0.003235229276895936,0.0037643298059964678,0.0005291005291005318,0.6985034605602876,0.9164072879452885,0.059897353263583766,0.22001321778593888
Label Noise / random,log_loss,0.048869809387562656,0.05264420915368784,0.051808173466883455,-0.0008360356868043831,0.7363628488636706,0.8527867695242448,0.4427108127662316,-0.01171903939508491
Label Noise / random,brier_score,0.020736396198830366,0.01906845029239761,0.01906852339181282,7.30994152084441e-08,0.9329678784510677,0.9332623938674658,0.991373758871327,2.931300010210689e-05
Label Noise / hard,accuracy,0.02777777777777774,0.01637426900584794,0.014912280701754365,-0.0014619883040935758,0.5918498168498171,0.5565934065934068,0.17878892127064128,-0.19986221148898448
Label Noise / hard,balanced_accuracy,0.02777777777777772,0.015773809523809485,0.013955026455026408,-0.0018187830687830774,0.5402282221478911,0.4637859394542048,0.23438237365260473,-0.21202843220604015
Label Noise / hard,f1,0.022171315895211048,0.013192199661400698,0.012060226004715058,-0.0011319736566856396,0.5911239370310641,0.5627330074855987,0.31089682851661204,-0.19524411317562035
Label Noise / hard,roc_auc,0.0063657407407407,0.004530423280423237,0.003935185185185137,-0.0005952380952381001,0.7074459856617622,0.5949904531758803,0.3051612336111478,-0.2565297956758214
Label Noise / hard,log_loss,0.06661007563014668,0.03209196710609307,0.021131463562126047,-0.010960503543967024,0.4739060172881715,0.16182214486170507,0.1909265697823631,-0.20774819761838278
Label Noise / hard,brier_score,0.013403011695906387,0.007465657894736809,0.00675032163742687,-0.0007153362573099386,0.5072664009810753,0.4551560199410714,0.2014511720662171,-0.2804642805475473
