fault_type,fault_mode,workflow,steps_to_detect_count,steps_to_detect_mean,steps_to_detect_std,steps_to_detect_median,steps_to_detect_min,steps_to_detect_max,mrr_count,mrr_mean,mrr_std,mrr_median,mrr_min,mrr_max,hit_at_1_count,hit_at_1_mean,hit_at_1_std,hit_at_1_median,hit_at_1_min,hit_at_1_max,hit_at_3_count,hit_at_3_mean,hit_at_3_std,hit_at_3_median,hit_at_3_min,hit_at_3_max,hit_at_5_count,hit_at_5_mean,hit_at_5_std,hit_at_5_median,hit_at_5_min,hit_at_5_max,hit_at_10_count,hit_at_10_mean,hit_at_10_std,hit_at_10_median,hit_at_10_min,hit_at_10_max,precision_at_k_count,precision_at_k_mean,precision_at_k_std,precision_at_k_median,precision_at_k_min,precision_at_k_max,recall_at_k_count,recall_at_k_mean,recall_at_k_std,recall_at_k_median,recall_at_k_min,recall_at_k_max,runtime_sec_count,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_min,runtime_sec_max,improvement_clean_holdout_accuracy_count,improvement_clean_holdout_accuracy_mean,improvement_clean_holdout_accuracy_std,improvement_clean_holdout_accuracy_median,improvement_clean_holdout_accuracy_min,improvement_clean_holdout_accuracy_max,improvement_clean_holdout_balanced_accuracy_count,improvement_clean_holdout_balanced_accuracy_mean,improvement_clean_holdout_balanced_accuracy_std,improvement_clean_holdout_balanced_accuracy_median,improvement_clean_holdout_balanced_accuracy_min,improvement_clean_holdout_balanced_accuracy_max,improvement_clean_holdout_f1_count,improvement_clean_holdout_f1_mean,improvement_clean_holdout_f1_std,improvement_clean_holdout_f1_median,improvement_clean_holdout_f1_min,improvement_clean_holdout_f1_max,improvement_clean_holdout_roc_auc_count,improvement_clean_holdout_roc_auc_mean,improvement_clean_holdout_roc_auc_std,improvement_clean_holdout_roc_auc_median,improvement_clean_holdout_roc_auc_min,improvement_clean_holdout_roc_auc_max,improvement_clean_holdout_log_loss_count,improvement_clean_holdout_log_loss_mean,improvement_clean_holdout_log_loss_std,improvement_clean_holdout_log_loss_median,improvement_clean_holdout_log_loss_min,improvement_clean_holdout_log_loss_max,improvement_clean_holdout_brier_score_count,improvement_clean_holdout_brier_score_mean,improvement_clean_holdout_brier_score_std,improvement_clean_holdout_brier_score_median,improvement_clean_holdout_brier_score_min,improvement_clean_holdout_brier_score_max,oracle_normalized_clean_holdout_accuracy_count,oracle_normalized_clean_holdout_accuracy_mean,oracle_normalized_clean_holdout_accuracy_std,oracle_normalized_clean_holdout_accuracy_median,oracle_normalized_clean_holdout_accuracy_min,oracle_normalized_clean_holdout_accuracy_max,oracle_normalized_clean_holdout_f1_count,oracle_normalized_clean_holdout_f1_mean,oracle_normalized_clean_holdout_f1_std,oracle_normalized_clean_holdout_f1_median,oracle_normalized_clean_holdout_f1_min,oracle_normalized_clean_holdout_f1_max,oracle_normalized_clean_holdout_log_loss_count,oracle_normalized_clean_holdout_log_loss_mean,oracle_normalized_clean_holdout_log_loss_std,oracle_normalized_clean_holdout_log_loss_median,oracle_normalized_clean_holdout_log_loss_min,oracle_normalized_clean_holdout_log_loss_max,oracle_normalized_clean_holdout_brier_score_count,oracle_normalized_clean_holdout_brier_score_mean,oracle_normalized_clean_holdout_brier_score_std,oracle_normalized_clean_holdout_brier_score_median,oracle_normalized_clean_holdout_brier_score_min,oracle_normalized_clean_holdout_brier_score_max,case
data_leakage,direct,baseline,30,1.0,0.0,1.0,1,1,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,0,,,,,,0,,,,,,30,0.5342704693476359,0.06854551381175797,0.5087791681289673,0.4806387424468994,0.7188239097595215,30,0.14649122807017537,0.07126907947206482,0.15350877192982448,0.0175438596491227,0.3333333333333332,30,0.13878968253968252,0.07009108874960447,0.1448412698412698,0.0238095238095239,0.3482142857142856,30,0.1247747329808451,0.061555076533922747,0.1348659003831417,0.0130784708249497,0.2743874830205765,30,0.07509920634920629,0.043131051509237094,0.0710978835978835,0.0016534391534391,0.2061838624338624,30,0.23438031884073768,0.15682020831081264,0.2289271706904012,-0.1656308399614534,0.5268030862230914,30,0.08432885964912278,0.019142217276128883,0.08638092105263151,0.0415008771929824,0.1247293859649122,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,27,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,data_leakage / direct
data_leakage,direct,oracle_true_fix,30,0.0,0.0,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.46256835460662843,0.11448401118016464,0.40854835510253906,0.3581538200378418,0.6986608505249023,30,0.14649122807017537,0.07126907947206482,0.15350877192982448,0.0175438596491227,0.3333333333333332,30,0.13878968253968252,0.07009108874960447,0.1448412698412698,0.0238095238095239,0.3482142857142856,30,0.1247747329808451,0.061555076533922747,0.1348659003831417,0.0130784708249497,0.2743874830205765,30,0.07509920634920629,0.043131051509237094,0.0710978835978835,0.0016534391534391,0.2061838624338624,30,0.23438031884073768,0.15682020831081264,0.2289271706904012,-0.1656308399614534,0.5268030862230914,30,0.08432885964912278,0.019142217276128883,0.08638092105263151,0.0415008771929824,0.1247293859649122,0,,,,,,0,,,,,,0,,,,,,0,,,,,,data_leakage / direct
data_leakage,direct,xai_shap,30,1.0,0.0,1.0,1,1,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,0,,,,,,0,,,,,,30,2.9726519107818605,0.4642696456959426,2.7614306211471558,2.4328835010528564,4.105986595153809,30,0.14649122807017537,0.07126907947206482,0.15350877192982448,0.0175438596491227,0.3333333333333332,30,0.13878968253968252,0.07009108874960447,0.1448412698412698,0.0238095238095239,0.3482142857142856,30,0.1247747329808451,0.061555076533922747,0.1348659003831417,0.0130784708249497,0.2743874830205765,30,0.07509920634920629,0.043131051509237094,0.0710978835978835,0.0016534391534391,0.2061838624338624,30,0.23438031884073768,0.15682020831081264,0.2289271706904012,-0.1656308399614534,0.5268030862230914,30,0.08432885964912278,0.019142217276128883,0.08638092105263151,0.0415008771929824,0.1247293859649122,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,27,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,data_leakage / direct
data_leakage,indirect,baseline,30,16.5,0.900191550497008,16.0,16,20,30,0.06076252723311546,0.0029754821151926274,0.0625,0.05,0.0625,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,30,0.5268617868423462,0.05865646435449453,0.5075472593307495,0.4826831817626953,0.7021195888519287,30,0.002631578947368413,0.008353606695514259,0.0,-0.0175438596491228,0.0175438596491228,30,0.00208333333333332,0.00933678077469923,0.0,-0.0238095238095239,0.0188492063492063,30,0.00209842933558208,0.006565124586841051,0.0,-0.0136884392203541,0.0139860139860139,30,0.00046296296296298033,0.003832517044544645,0.00016534391534390552,-0.0100859788359788,0.0087632275132276,30,0.009458416339414612,0.1341414735178871,0.0010709829378883502,-0.2867170105610859,0.2781851599486781,30,0.0003411257309941399,0.0020882308735406976,0.00024407894736835,-0.0040730263157894,0.0044728070175438,7,0.7142857142857125,0.9511897312113458,1.0,-1.0000000000000129,2.0,7,0.7244905080418175,0.9796042282355402,1.0,-1.041666666666668,2.0571428571428614,13,0.4869731065249186,0.7378607943794725,0.8526790505918522,-0.8260610727521172,1.452373310243558,0,,,,,,data_leakage / indirect
data_leakage,indirect,oracle_true_fix,30,0.0,0.0,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.4641952355702718,0.12029660120310408,0.40658891201019287,0.359645128250122,0.752769947052002,30,-0.0014619883040935665,0.011304970825299418,0.0,-0.0350877192982456,0.0175438596491228,30,-0.0011574074074074132,0.013104573157312343,0.0,-0.0426587301587302,0.0238095238095238,30,-0.0012546928531368734,0.008880316185389106,0.0,-0.027674453206368,0.0139860139860139,30,0.00035273368606703,0.004124290134972153,0.0,-0.0064484126984126,0.0107473544973545,30,0.012244267910218069,0.13216111799676586,0.0034182287309085,-0.2680480628278339,0.2816795585848402,30,0.00062711257309939,0.0018556753153028082,0.00060778508771925,-0.0046021929824561,0.0038368421052631,0,,,,,,0,,,,,,0,,,,,,0,,,,,,data_leakage / indirect
data_leakage,indirect,xai_shap,30,9.0,2.051072049374214,9.0,6,14,30,0.11644660894660892,0.025227194892509946,0.1111111111111111,0.0714285714285714,0.1666666666666666,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.7666666666666667,0.4301830671520764,1.0,0.0,1.0,0,,,,,,0,,,,,,30,4.0959670384724935,0.6955994816809131,3.7612019777297974,3.207362413406372,6.06314754486084,30,0.0,0.009498075298310683,0.0,-0.0175438596491228,0.0175438596491228,30,-6.591949208711867e-18,0.011031780486886654,0.0,-0.0238095238095239,0.0238095238095238,30,-4.466219662900009e-05,0.007459852745741037,0.0,-0.0142857142857142,0.0141843971631205,30,0.000942460317460327,0.004386887173389752,0.00041335978835985003,-0.0100859788359788,0.0110780423280424,30,0.010437463799284234,0.13460685024525246,-7.60443731142e-05,-0.2867170105610859,0.282569816536722,30,0.0004565350877192867,0.0019466641228696494,0.00062247807017535,-0.003516447368421,0.0038550438596491,7,0.5714285714285696,0.7867957924694474,1.0,-1.0000000000000129,1.0,7,0.5576484018264839,0.7959983943046216,1.0,-1.041666666666668,1.0,13,2.713809687026399,8.449007058818855,0.5161049909121458,-0.8344422160988609,30.74210360608764,0,,,,,,data_leakage / indirect
label_noise,hard,baseline,30,1.0,0.0,1.0,1,1,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,0.7264705882352941,0.05839090402886969,0.7352941176470589,0.5882352941176471,0.8235294117647058,30,0.7264705882352941,0.05839090402886969,0.7352941176470589,0.5882352941176471,0.8235294117647058,30,1.4942078272501627,0.24643846435069072,1.4072924852371216,1.3268046379089355,2.2251908779144287,30,0.016374269005847937,0.016728375164413944,0.0175438596491228,-0.0175438596491227,0.043859649122807,30,0.015773809523809485,0.018228349237357198,0.012896825396825351,-0.0238095238095238,0.0476190476190475,30,0.0131921996614007,0.013378506100896411,0.0149116657788855,-0.0134432599905476,0.0354575002462326,30,0.004530423280423236,0.004133620689592219,0.00413359788359785,-0.0019841269841269,0.019179894179894,30,0.03209196710609307,0.08913058625130513,0.0231898336124309,-0.2533991175352926,0.3007739897527866,30,0.007465657894736809,0.005848670098899815,0.0067649122807017,-0.005976096491228,0.0182811403508771,26,0.591849816849817,0.5412302996166181,0.666666666666666,-1.0,1.6666666666666623,26,0.5911239370310641,0.5353093361747145,0.6759965702520205,-0.986301369863036,1.6513761467889891,29,0.4739060172881715,3.380923563388216,0.7316871673449704,-15.008510951923324,7.11938529969808,29,0.5072664009810753,0.3733587283676244,0.5233793554545939,-0.5082435003170581,1.2315923350856377,label_noise / hard
label_noise,hard,oracle_true_fix,30,0.0,0.0,0.0,0,0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,30,0.4636873960494995,0.11705406507042275,0.39499056339263916,0.350198745727539,0.7123672962188721,30,0.02777777777777774,0.019961028742978414,0.02631578947368415,-0.0087719298245614,0.0701754385964912,30,0.027777777777777728,0.022834558454230155,0.02926587301587295,-0.0168650793650794,0.0714285714285714,30,0.022171315895211048,0.015767494938759986,0.0222056251821626,-0.0066051481301603,0.0572335465952487,30,0.0063657407407407,0.004825595133368553,0.00603505291005285,-0.0041335978835977,0.0195105820105819,30,0.06661007563014668,0.09339377604675553,0.03326259253096325,-0.0074440583103209,0.3171537806124956,30,0.013403011695906386,0.005776073974674007,0.01205942982456135,-0.0025565789473684,0.0249649122807017,0,,,,,,0,,,,,,0,,,,,,0,,,,,,label_noise / hard
label_noise,hard,xai_shap,30,1.0666666666666667,0.25370813170246254,1.0,1,2,30,0.9666666666666667,0.12685406585123127,1.0,0.5,1.0,30,0.9333333333333333,0.2537081317024624,1.0,0.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,0.7088235294117647,0.06195999263451232,0.7058823529411765,0.5882352941176471,0.8235294117647058,30,0.7088235294117647,0.06195999263451232,0.7058823529411765,0.5882352941176471,0.8235294117647058,30,3.552195127805074,0.7003110015635979,3.2288706302642822,2.684232473373413,5.080196857452393,30,0.014912280701754361,0.01495580992515617,0.01754385964912275,-0.0175438596491227,0.0350877192982456,30,0.013955026455026408,0.017171057499501315,0.01041666666666655,-0.0238095238095238,0.0476190476190475,30,0.01206022600471506,0.011802970024333724,0.01441716052980985,-0.0134432599905476,0.0291750503018107,30,0.003935185185185136,0.0045221714589144335,0.00338955026455025,-0.0054563492063494,0.019179894179894,30,0.021131463562126043,0.10263017149988685,0.02053869860627465,-0.2491552028503175,0.3013641929432186,30,0.006750321637426871,0.005807893076972798,0.0066367324561403,-0.005976096491228,0.0184302631578947,26,0.5565934065934067,0.4902219903884946,0.5857142857142854,-0.2499999999999976,2.000000000000006,26,0.5627330074855987,0.4839318853130367,0.5938739074641267,-0.2363124560168911,2.046357615894042,29,0.16182214486170513,3.5521007463021883,0.5589611789893708,-14.71421463337606,7.11938529969808,29,0.45515601994107147,0.41018593159582645,0.5529283792294041,-0.6137492043284539,1.0858776188042922,label_noise / hard
label_noise,random,baseline,30,1.0,0.0,1.0,1,1,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,1.0,0.0,1.0,1.0,1.0,30,0.8539215686274509,0.05034384416064522,0.8529411764705882,0.7352941176470589,0.9411764705882352,30,0.8539215686274509,0.05034384416064522,0.8529411764705882,0.7352941176470589,0.9411764705882352,30,1.6226260344187418,0.22658251018141576,1.5472972393035889,1.467754602432251,2.282796621322632,30,0.00029239766081871676,0.01185488842736221,0.0,-0.0175438596491228,0.0263157894736841,30,0.0008928571428571332,0.012027707372992974,0.0,-0.0188492063492063,0.0257936507936509,30,0.0001632060245498867,0.009591542730990207,-0.0004836859819495,-0.0142857142857142,0.0230815347721823,30,0.003235229276895937,0.006690662397524137,0.0012400793650793498,-0.0071097883597883,0.0257936507936509,30,0.05264420915368784,0.09822893371497594,0.08629932925523975,-0.2067417857301191,0.123578989933207,30,0.019068450292397614,0.004082728460549128,0.01921381578947365,0.0095517543859649,0.0254203947368421,16,0.44791666666666613,1.116739218206952,0.16666666666666666,-1.0000000000000129,2.999999999999988,16,0.42224021543747725,1.074160418108512,0.16203703703703926,-1.0869565217391493,2.782231852654383,25,0.7363628488636706,0.7882725412395872,0.9516993277371216,-2.2543467330827176,1.3774727749254596,30,0.9329678784510675,0.1661743117693536,0.9104773329138696,0.6799462986668323,1.3430481377993144,label_noise / random
