Label-Noise-Modus,Precision@k Baseline,Precision@k XAI,Δ Precision@k (XAI - Baseline),Recall@k Baseline,Recall@k XAI,Δ Recall@k (XAI - Baseline),p Precision@k,p Recall@k,Interpretation
random,0.8539215686274507,0.830392156862745,-0.023529411764705688,0.8539215686274507,0.830392156862745,-0.023529411764705688,0.030486726963812955,0.030486726963812955,Baseline besser
hard,0.7264705882352941,0.7088235294117649,-0.017647058823529238,0.7264705882352941,0.7088235294117649,-0.017647058823529238,0.007957237291984689,0.007957237291984689,Baseline besser
