Fehlerklasse,Steps Baseline,Steps XAI,Eingesparte Steps durch XAI,MRR Baseline,MRR XAI,Hit@10 Baseline,Hit@10 XAI,p Steps,p MRR,p Hit@10,dz Steps,dz MRR
Label Noise / random,1.0,1.0333333333333334,-0.03333333333333333,1.0,0.9833333333333333,1.0,1.0,0.31731050786291415,0.31731050786291415,1.0,-0.18257418583505539,-0.18257418583505539
Label Noise / hard,1.0,1.0666666666666667,-0.06666666666666667,1.0,0.9666666666666667,1.0,1.0,0.15729920705028502,0.15729920705028502,1.0,-0.26276913640612176,-0.26276913640612176
Data Leakage / direct,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Data Leakage / indirect,16.5,9.0,7.5,0.06076252723311546,0.11644660894660894,0.0,0.7666666666666667,1.517513194904458e-06,1.65205147845969e-06,2.384185791015625e-07,3.791074609663498,2.2707803737142376
Spurious Correlation / broken,20.033333333333335,13.133333333333333,6.9,0.050211153319243224,0.08476153476153472,0.0,0.36666666666666664,7.348198188309011e-06,4.248332220901608e-06,0.0009765625,1.4702785848118434,1.2986347600029604
Spurious Correlation / inverted,20.033333333333335,13.133333333333333,6.9,0.050211153319243224,0.08476153476153472,0.0,0.36666666666666664,7.348198188309011e-06,4.248332220901608e-06,0.0009765625,1.4702785848118434,1.2986347600029604
