Fehlerklasse,Oracle-Potenzial,Fix-Impact Baseline,Fix-Impact XAI,Δ Fix-Impact (XAI - Baseline),Oracle-normalisiert Baseline,Oracle-normalisiert XAI,Repair-Quality,p Fix-Impact,dz Fix-Impact,Interpretation
Label Noise / random,0.0020467836257309934,0.00029239766081871714,0.00204678362573099,0.0017543859649122727,0.44791666666666613,0.5416666666666677,repair_usable,0.3107805659689027,0.1880581124507434,Oracle-Potenzial zu schwach
Label Noise / hard,0.02777777777777774,0.01637426900584794,0.014912280701754365,-0.0014619883040935758,0.5918498168498171,0.5565934065934068,repair_usable,0.17878892127064128,-0.19986221148898448,kein klarer Unterschied
Data Leakage / direct,0.14649122807017537,0.14649122807017537,0.14649122807017537,0.0,1.0,1.0,repair_usable,1.0,,kein klarer Unterschied
Data Leakage / indirect,-0.0014619883040935667,0.0026315789473684136,-1.1564823173178714e-19,-0.0026315789473684136,0.7142857142857125,0.5714285714285696,repair_too_weak,0.022762546531346548,-0.503386589265573,Oracle-Potenzial zu schwach
Spurious Correlation / broken,0.0005847953216374234,0.0020467836257309865,0.0008771929824561402,-0.0011695906432748465,0.29166666666666485,0.1458333333333317,repair_too_weak,0.6896908033971029,-0.1825741858350547,Oracle-Potenzial zu schwach
Spurious Correlation / inverted,0.0008771929824561336,0.0020467836257309835,0.0008771929824561367,-0.0011695906432748469,0.1666666666666633,0.020833333333330165,repair_too_weak,0.6896908033971029,-0.1825741858350547,Oracle-Potenzial zu schwach
